SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-24-2017,Single Family Residential,2233 Auseon Ave,Oakland,CA,94605,332000,2,1.0,Alameda County,958,5150,1923,390,347,,Sold,,,http://www.redfin.com/CA/Oakland/2233-Auseon-Ave-94605/home/1993007,BAREIS,21702951,N,Y,37.7567676,-122.1670879
PAST SALE,March-27-2017,Single Family Residential,7408 Outlook Ave,Oakland,CA,94605,625000,3,2.0,Eastmont Hills,1933,3285,1932,387,323,,Sold,,,http://www.redfin.com/CA/Oakland/7408-Outlook-Ave-94605/home/577464,EBRD/CCAR/Bay East,40769768,N,Y,37.7704306,-122.169128
PAST SALE,March-31-2017,Single Family Residential,2631 76TH Ave,Oakland,CA,94605,460000,4,2.5,Eastmont,1761,3000,2004,383,261,,Sold,,,http://www.redfin.com/CA/Oakland/2631-76th-Ave-94605/home/1363312,EBRD/CCAR/Bay East,40765904,N,Y,37.7658555,-122.1732524
PAST SALE,April-26-2016,Vacant Land,7642 Outlook Ave,Oakland,CA,94605,235000,,,Oakland,,28976,,722,,,Sold,,,http://www.redfin.com/CA/Oakland/7642-Outlook-Ave-94605/home/102967451,EBRD/CCAR/Bay East,40726672,N,Y,37.7688595,-122.16684
PAST SALE,May-5-2015,Single Family Residential,7588 HILLMONT Dr,Oakland,CA,94605,758800,5,5.0,King Estates,4191,12020,2009,1079,181,,Sold,,,http://www.redfin.com/CA/Oakland/7588-Hillmont-Dr-94605/home/22962036,EBRD/CCAR/Bay East,40692760,N,Y,37.7700475,-122.166467
PAST SALE,,Single Family Residential,2934 73rd Ave,Oakland,CA,94605,322000,2,1.0,,1168,3762,1931,,276,,,,,http://www.redfin.com/CA/Oakland/2934-73rd-Ave-94605/home/1497076,,,N,Y,37.7702183,-122.1701924
PAST SALE,November-16-2017,Single Family Residential,,Oakland,CA,94605,580000,2,1.0,Toler Heights,1024,5040,1946,153,566,,Sold,,,http://www.redfin.com/CA/Oakland/Undisclosed-address-94605/home/1655361,EBRD/CCAR/Bay East,40801084,N,Y,37.7487837,-122.1547136
PAST SALE,March-16-2017,Condo/Co-op,570 Canyon Oaks Dr Unit G,Oakland,CA,94605,485000,2,2.0,East Oakl Hills,1123,,1986,398,432,391,Sold,,,http://www.redfin.com/CA/Oakland/570-Canyon-Oaks-Dr-94605/unit-G/home/12116944,EBRD/CCAR/Bay East,40771386,N,Y,37.772348,-122.147093
PAST SALE,March-28-2017,Townhouse,121 Thousand Oaks St,Oakland,CA,94605,730000,3,2.5,Sequoyah Heights,1757,3572,1977,386,415,406,Sold,,,http://www.redfin.com/CA/Oakland/121-Thousand-Oaks-St-94605/home/1821330,EBRD/CCAR/Bay East,40770337,N,Y,37.764923,-122.126954
PAST SALE,March-31-2017,Single Family Residential,84 SIENA Dr,Oakland,CA,94605,880000,4,4.0,Sequoyah,2012,10666,2008,383,437,200,Sold,,,http://www.redfin.com/CA/Oakland/84-Siena-Dr-94605/home/12316160,EBRD/CCAR/Bay East,40770355,N,Y,37.7707845,-122.151836
PAST SALE,February-20-2018,Single Family Residential,9600 Golf Links,Oakland,CA,94605,720000,2,1.0,Oak Knoll,1365,5664,1938,57,527,,Sold,,,http://www.redfin.com/CA/Oakland/9600-Golf-Links-Rd-94605/home/1937096,EBRD/CCAR/Bay East,40808482,N,Y,37.754725,-122.1522297
PAST SALE,May-15-2017,Condo/Co-op,645 Canyon Oaks Dr Unit G,Oakland,CA,94605,468000,2,2.0,Oakland,1123,,1986,338,417,391,Sold,,,http://www.redfin.com/CA/Oakland/645-Canyon-Oaks-Dr-94605/unit-G/home/12116881,EBRD/CCAR/Bay East,40765875,N,Y,37.774481,-122.145973
PAST SALE,August-14-2017,Condo/Co-op,550 Canyon Oaks Dr Unit A,Oakland,CA,94605,475000,2,2.0,Shadow Woods,1123,,1986,247,423,391,Sold,,,http://www.redfin.com/CA/Oakland/550-Canyon-Oaks-Dr-94605/unit-A/home/12116914,EBRD/CCAR/Bay East,40791049,N,Y,37.772348,-122.147093
PAST SALE,September-12-2017,Condo/Co-op,630 Canyon Oaks Dr Unit H,OAKLAND,CA,94605,480000,2,2.0,OAKLAND,1123,52637,1986,218,427,390,Sold,,,http://www.redfin.com/CA/Oakland/630-Canyon-Oaks-Dr-94605/unit-H/home/12118504,MLSListings,ML81650609,N,Y,37.773264,-122.146087
PAST SALE,September-19-2017,Condo/Co-op,480 Canyon Oaks Dr Unit G,Oakland,CA,94605,502000,2,2.0,Shadow Woods,1123,,1986,211,447,391,Sold,,,http://www.redfin.com/CA/Oakland/480-Canyon-Oaks-Dr-94605/unit-G/home/12116743,EBRD/CCAR/Bay East,40792287,N,Y,37.771451,-122.148443
PAST SALE,September-20-2017,Townhouse,97 Thousand Oaks,Oakland,CA,94605,710000,3,2.5,Sequoyah Heights,1636,2777,1977,210,434,406,Sold,,,http://www.redfin.com/CA/Oakland/97-Thousand-Oaks-St-94605/home/1668191,EBRD/CCAR/Bay East,40793406,N,Y,37.7654435,-122.1274374
PAST SALE,,Townhouse,57 Ironwood,Oakland,CA,94605,650000,3,2.0,,1636,2656,1977,,397,,,,,http://www.redfin.com/CA/Oakland/57-Ironwood-94605/home/1671545,,,N,Y,37.7647464,-122.128422
PAST SALE,January-3-2018,Condo/Co-op,520 Canyon Oaks Dr Unit H,Oakland,CA,94605,400000,1,1.0,East Oakl Hills,815,815,1986,105,491,344,Sold,,,http://www.redfin.com/CA/Oakland/520-Canyon-Oaks-Dr-94605/unit-H/home/12116931,EBRD/CCAR/Bay East,40803158,N,Y,37.772348,-122.147093
PAST SALE,April-25-2017,Townhouse,6496 Bayview Dr,Oakland,CA,94605,830000,4,3.0,Oakland,2444,2606,2014,358,340,269,Sold,,,http://www.redfin.com/CA/Oakland/6496-Bayview-Dr-94605/home/22647630,EBRD/CCAR/Bay East,40774491,N,Y,37.779229,-122.1620319
